"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.784246100E-2,-1.108125019E1,8.362500191E0,-3.941250229E1,4.178601263E1
2.784246100E-2,-1.115625000E1,8.193750381E0,-3.958125305E1,4.193179048E1
3.784246100E-2,-1.087500000E1,8.250000000E0,-3.999375153E1,4.225906159E1
4.784246100E-2,-1.068750000E1,8.175000191E0,-4.018125153E1,4.237435850E1
5.784246100E-2,-1.066875076E1,8.268750191E0,-4.042500305E1,4.261895522E1
6.784246100E-2,-1.059375000E1,8.118750572E0,-4.053750229E1,4.267822327E1
7.784246100E-2,-1.055625057E1,8.118750572E0,-4.066875076E1,4.279364235E1
8.784246100E-2,-1.003125000E1,7.893750191E0,-4.093125153E1,4.287545475E1
9.784246100E-2,-9.843750000E0,7.893750191E0,-4.100625229E1,4.290365291E1
1.078424610E-1,-9.618750572E0,7.912500381E0,-4.093125153E1,4.278428890E1
1.178424610E-1,-9.843750000E0,7.837500095E0,-4.061250305E1,4.251706982E1
1.278424610E-1,-1.006875038E1,7.706250191E0,-4.063125229E1,4.256365455E1
1.378424610E-1,-9.993750572E0,7.743750095E0,-4.065000153E1,4.257068639E1
1.478424610E-1,-1.003125000E1,7.762500286E0,-4.085625076E1,4.277985056E1
1.578424610E-1,-1.023750019E1,7.462500095E0,-4.078125000E1,4.270369620E1
1.678424610E-1,-1.070625019E1,7.500000477E0,-4.091250229E1,4.295004824E1
1.778424610E-1,-1.076250076E1,7.462500095E0,-4.098750305E1,4.302901041E1
1.878424610E-1,-1.095000076E1,7.593750477E0,-4.108125305E1,4.318838866E1
1.978424610E-1,-1.130625057E1,7.631250381E0,-4.095000076E1,4.316213441E1
2.078424610E-1,-1.115625000E1,7.968750477E0,-4.093125153E1,4.316630920E1
2.178424610E-1,-1.128750038E1,7.743750095E0,-4.083750153E1,4.307058000E1
2.278424610E-1,-1.134375000E1,7.800000191E0,-4.059375000E1,4.286459152E1
2.378424610E-1,-1.121250057E1,7.912500381E0,-4.065000153E1,4.290396783E1
2.478424610E-1,-1.108125019E1,7.893750191E0,-4.027500153E1,4.251095324E1
2.578424610E-1,-1.083750057E1,7.762500286E0,-4.031250000E1,4.245945696E1
2.678424610E-1,-1.098750019E1,7.518750191E0,-4.023750305E1,4.238293780E1
2.778424610E-1,-1.066875076E1,7.593750477E0,-4.044375229E1,4.251099138E1
2.878424610E-1,-1.078125000E1,7.275000095E0,-4.036875153E1,4.241222793E1
2.978424610E-1,-1.078125000E1,7.425000191E0,-4.020000076E1,4.227772511E1
3.078424610E-1,-1.081875038E1,7.350000381E0,-4.048125076E1,4.254173867E1
3.178424610E-1,-1.076250076E1,7.462500095E0,-4.036875153E1,4.244003334E1
3.278424610E-1,-1.066875076E1,7.668750286E0,-4.051875305E1,4.259578996E1
3.378424610E-1,-1.106250000E1,7.687500477E0,-4.031250000E1,4.250381425E1
3.478424610E-1,-1.083750057E1,8.100000381E0,-4.033125305E1,4.254023269E1
3.578424610E-1,-1.091250038E1,8.100000381E0,-4.027500153E1,4.250609861E1
3.678424610E-1,-1.095000076E1,8.212500572E0,-4.012500000E1,4.239532176E1
3.778424610E-1,-1.091250038E1,8.268750191E0,-4.005000305E1,4.232561445E1
3.878424610E-1,-1.076250076E1,8.287500381E0,-3.976875305E1,4.202460951E1
3.978424610E-1,-1.085625076E1,8.287500381E0,-3.997500229E1,4.224383566E1
4.078424610E-1,-1.095000076E1,8.043750763E0,-3.997500229E1,4.222091012E1
4.178424610E-1,-1.096875000E1,8.118750572E0,-4.010625076E1,4.236435929E1
4.278424610E-1,-1.096875000E1,7.706250191E0,-4.001250076E1,4.219834103E1
4.378424610E-1,-1.093125057E1,7.687500477E0,-4.001250076E1,4.218518840E1
4.478424610E-1,-1.078125000E1,7.893750191E0,-4.025625229E1,4.241594620E1
4.578424610E-1,-1.091250038E1,7.743750095E0,-4.051875305E1,4.267104028E1
4.678424610E-1,-1.087500000E1,7.912500381E0,-4.066875076E1,4.283480566E1
4.778424610E-1,-1.080000019E1,7.743750095E0,-4.059375000E1,4.271367707E1
4.878424610E-1,-1.066875076E1,7.762500286E0,-4.061250305E1,4.270192101E1
4.978424610E-1,-1.051875019E1,7.800000191E0,-4.061250305E1,4.267153047E1
5.078424610E-1,-1.055625057E1,7.875000477E0,-4.072500229E1,4.280158724E1
5.178424610E-1,-1.061250019E1,7.706250191E0,-4.074375153E1,4.280262539E1
5.278424610E-1,-1.055625057E1,7.518750191E0,-4.053750229E1,4.255884306E1
5.378424610E-1,-1.020000076E1,7.556250095E0,-4.044375229E1,4.238907914E1
5.478424610E-1,-1.018125057E1,7.481250286E0,-4.040625000E1,4.233546986E1
5.578424610E-1,-1.008750057E1,7.743750095E0,-4.035000229E1,4.230657181E1
5.678424610E-1,-1.010625076E1,7.781250477E0,-4.029375076E1,4.226429361E1
5.778424610E-1,-9.956250191E0,7.912500381E0,-4.021875000E1,4.218154136E1
5.878424610E-1,-1.008750057E1,7.781250477E0,-4.044375229E1,4.240286106E1
5.978424610E-1,-9.843750000E0,8.006250381E0,-4.070625305E1,4.263799358E1
6.078424610E-1,-9.975000381E0,7.950000286E0,-4.087500000E1,4.281902337E1
6.178424610E-1,-1.020000076E1,7.912500381E0,-4.098750305E1,4.297235256E1
6.278424610E-1,-1.040625000E1,7.781250477E0,-4.087500000E1,4.289059947E1
6.378424610E-1,-1.061250019E1,7.575000286E0,-4.081875229E1,4.285062809E1
6.478424610E-1,-1.070625019E1,7.650000095E0,-4.106250000E1,4.311931355E1
6.578424610E-1,-1.093125057E1,7.425000191E0,-4.100625229E1,4.308289212E1
6.678424610E-1,-1.085625076E1,7.650000095E0,-4.074375153E1,4.285363427E1
6.778424610E-1,-1.108125019E1,7.537500381E0,-4.046250153E1,4.262419556E1
6.878424610E-1,-1.104375076E1,7.631250381E0,-4.046250153E1,4.263114405E1
6.978424610E-1,-1.119375038E1,7.800000191E0,-4.023750305E1,4.248760646E1
7.078424610E-1,-1.087500000E1,8.118750572E0,-4.050000000E1,4.271334377E1
7.178424610E-1,-1.081875038E1,8.325000763E0,-4.050000000E1,4.273875288E1
7.278424610E-1,-1.078125000E1,8.306250572E0,-4.016250229E1,4.240584559E1
7.378424610E-1,-1.072500038E1,8.343750000E0,-4.016250229E1,4.239894323E1
7.478424610E-1,-1.072500038E1,8.381250381E0,-4.016250229E1,4.240633893E1
7.578424610E-1,-1.044375038E1,8.400000572E0,-4.048125076E1,4.264227474E1
7.678424610E-1,-1.048125076E1,8.400000572E0,-4.061250305E1,4.277606844E1
7.778424610E-1,-1.036875057E1,8.175000191E0,-4.078125000E1,4.286551024E1
7.878424610E-1,-1.063125038E1,7.912500381E0,-4.063125229E1,4.273792004E1
7.978424610E-1,-1.065000057E1,7.931250095E0,-4.063125229E1,4.274606301E1
8.078424610E-1,-1.072500038E1,7.800000191E0,-4.100625229E1,4.309731271E1
8.178424610E-1,-1.076250076E1,7.856250286E0,-4.100625229E1,4.311687394E1
8.278424610E-1,-1.087500000E1,7.781250477E0,-4.119375229E1,4.330979926E1
8.378424610E-1,-1.100625038E1,7.706250191E0,-4.098750305E1,4.313350491E1
8.478424610E-1,-1.106250000E1,7.743750095E0,-4.066875076E1,4.285197616E1
8.578424610E-1,-1.095000076E1,7.987500191E0,-4.040625000E1,4.261886572E1
8.678424610E-1,-1.087500000E1,7.987500191E0,-4.048125076E1,4.267080322E1
8.778424610E-1,-1.068750000E1,7.912500381E0,-4.046250153E1,4.259159950E1
8.878424610E-1,-1.044375038E1,7.950000286E0,-4.014375305E1,4.223500131E1
8.978424610E-1,-1.031250000E1,7.893750191E0,-4.014375305E1,4.219217768E1
9.078424610E-1,-1.010625076E1,8.006250381E0,-4.003125000E1,4.205635893E1
9.178424610E-1,-1.020000076E1,8.137500763E0,-4.003125000E1,4.210415551E1
9.278424610E-1,-1.016250038E1,7.856250286E0,-4.006875229E1,4.207733348E1
9.378424610E-1,-1.031250000E1,7.762500286E0,-4.027500153E1,4.229278679E1
9.478424610E-1,-1.027500057E1,7.668750286E0,-4.031250000E1,4.230228155E1
9.578424610E-1,-1.042500019E1,7.462500095E0,-4.025625229E1,4.224849565E1
9.678424610E-1,-1.050000000E1,7.518750191E0,-4.029375076E1,4.231273987E1
9.778424610E-1,-1.065000057E1,7.387500286E0,-4.040625000E1,4.243421629E1
9.878424610E-1,-1.089375019E1,7.162500381E0,-4.010625076E1,4.217210636E1
9.978424610E-1,-1.091250038E1,7.162500381E0,-3.990000153E1,4.198087896E1
1.007842461E0,-1.095000076E1,7.143750191E0,-3.991875076E1,4.200526569E1
1.017842461E0,-1.083750057E1,7.143750191E0,-3.990000153E1,4.195824957E1
1.027842461E0,-1.085625076E1,7.387500286E0,-3.980625153E1,4.191623792E1
1.037842461E0,-1.074375057E1,7.650000095E0,-3.988125229E1,4.200553490E1
1.047842461E0,-1.089375019E1,7.612500191E0,-4.012500000E1,4.226865952E1
1.057842461E0,-1.093125057E1,7.706250191E0,-4.003125000E1,4.220639179E1
1.067842461E0,-1.074375057E1,7.856250286E0,-4.035000229E1,4.248848702E1
1.077842461E0,-1.083750057E1,7.631250381E0,-4.055625153E1,4.266728183E1
1.087842461E0,-1.057500076E1,7.818750381E0,-4.059375000E1,4.267102105E1
1.097842461E0,-1.076250076E1,7.837500095E0,-4.050000000E1,4.263223933E1
1.107842461E0,-1.087500000E1,7.650000095E0,-4.033125305E1,4.246643497E1
1.117842461E0,-1.096875000E1,7.518750191E0,-4.033125305E1,4.246710555E1
1.127842461E0,-1.100625038E1,7.481250286E0,-4.010625076E1,4.225657350E1
1.137842461E0,-1.083750057E1,7.668750286E0,-3.995625305E1,4.210419584E1
1.147842461E0,-1.096875000E1,7.481250286E0,-3.986250305E1,4.201549395E1
1.157842461E0,-1.085625076E1,7.668750286E0,-3.988125229E1,4.203786621E1
1.167842461E0,-1.085625076E1,7.837500095E0,-3.991875076E1,4.210452768E1
1.177842461E0,-1.078125000E1,7.743750095E0,-4.006875229E1,4.221025855E1
1.187842461E0,-1.076250076E1,7.631250381E0,-4.010625076E1,4.222059634E1
1.197842461E0,-1.070625019E1,7.781250477E0,-4.018125153E1,4.230490074E1
1.207842461E0,-1.085625076E1,7.800000191E0,-4.021875000E1,4.238214288E1
1.217842461E0,-1.083750057E1,7.687500477E0,-4.044375229E1,4.257048486E1
1.227842461E0,-1.057500076E1,7.743750095E0,-4.025625229E1,4.233629831E1
