"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.920980600E-2,-2.741250038E1,-1.063125038E1,-4.230000305E1,5.151464763E1
2.920980600E-2,-2.799375153E1,-9.056250572E0,-4.263750076E1,5.180368974E1
3.920980600E-2,-2.797500038E1,-7.743750095E0,-4.344375229E1,5.224869304E1
4.920980600E-2,-2.773125076E1,-6.525000095E0,-4.402500153E1,5.243852262E1
5.920980600E-2,-2.791875076E1,-5.306250095E0,-4.455000305E1,5.284236658E1
6.920980600E-2,-2.782500076E1,-4.200000286E0,-4.477500153E1,5.288356485E1
7.920980600E-2,-2.728125191E1,-3.712500095E0,-4.511250305E1,5.285061300E1
8.920980600E-2,-2.540625191E1,-3.375000238E0,-4.575000000E1,5.243978225E1
9.920980600E-2,-2.300625038E1,-2.756250143E0,-4.674375153E1,5.217147476E1
1.092098060E-1,-2.017500114E1,-2.306250095E0,-4.777500153E1,5.191146532E1
1.192098060E-1,-1.715625000E1,-1.781250119E0,-4.867500305E1,5.164073671E1
1.292098060E-1,-1.451250076E1,-9.187500477E-1,-4.987500381E1,5.195163891E1
1.392098060E-1,-1.258125019E1,-2.625000179E-1,-5.060625076E1,5.214738132E1
1.492098060E-1,-1.151250076E1,2.625000179E-1,-5.115000153E1,5.243023208E1
1.592098060E-1,-1.117500019E1,4.500000179E-1,-5.139375305E1,5.259658717E1
1.692098060E-1,-1.233750057E1,1.012500048E0,-5.135625076E1,5.282711017E1
1.792098060E-1,-1.402500057E1,1.425000072E0,-5.081250381E1,5.273179127E1
1.892098060E-1,-1.683750153E1,1.668750048E0,-4.968750381E1,5.248937245E1
1.992098060E-1,-2.038125038E1,1.950000048E0,-4.831875229E1,5.247761132E1
2.092098060E-1,-2.388750076E1,1.631250024E0,-4.681875229E1,5.258582732E1
2.192098060E-1,-2.653125191E1,1.556250095E0,-4.560000229E1,5.277963102E1
2.292098060E-1,-2.836875153E1,1.462500095E0,-4.475625229E1,5.300987727E1
2.392098060E-1,-2.921250153E1,1.425000072E0,-4.430625153E1,5.308902707E1
2.492098060E-1,-2.885625076E1,1.181250095E0,-4.440000153E1,5.296639213E1
2.592098060E-1,-2.782500076E1,7.875000238E-1,-4.492500305E1,5.284985074E1
2.692098060E-1,-2.615625191E1,5.812500119E-1,-4.612500000E1,5.302832253E1
2.792098060E-1,-2.375625038E1,3.375000060E-1,-4.743750000E1,5.305459212E1
2.892098060E-1,-2.128125000E1,5.062500238E-1,-4.863750076E1,5.309194262E1
2.992098060E-1,-1.921875000E1,4.312500060E-1,-4.972500229E1,5.331155767E1
3.092098060E-1,-1.786875153E1,2.437500060E-1,-5.049375153E1,5.356277288E1
3.192098060E-1,-1.700625038E1,2.625000179E-1,-5.094375229E1,5.370798223E1
3.292098060E-1,-1.655625153E1,2.625000179E-1,-5.120625305E1,5.381689997E1
3.392098060E-1,-1.666875076E1,3.750000000E-1,-5.115000153E1,5.379879676E1
3.492098060E-1,-1.681875038E1,5.625000000E-1,-5.081250381E1,5.352660380E1
3.592098060E-1,-1.738125038E1,5.812500119E-1,-5.056875229E1,5.347564328E1
3.692098060E-1,-1.818750000E1,3.937500119E-1,-5.028750229E1,5.347684622E1
3.792098060E-1,-1.837500000E1,4.125000238E-1,-5.002500153E1,5.329457345E1
3.892098060E-1,-1.831875038E1,4.312500060E-1,-4.998750305E1,5.324014513E1
3.992098060E-1,-1.822500038E1,3.187500238E-1,-5.006250381E1,5.327763629E1
4.092098060E-1,-1.824375153E1,3.187500238E-1,-5.002500153E1,5.324882017E1
4.192098060E-1,-1.831875038E1,4.500000179E-1,-5.017500305E1,5.341638369E1
4.292098060E-1,-1.841250038E1,4.125000238E-1,-5.043750381E1,5.369480531E1
4.392098060E-1,-1.837500000E1,4.125000238E-1,-5.025000381E1,5.350582832E1
4.492098060E-1,-1.833750153E1,4.500000179E-1,-5.053125381E1,5.375754900E1
4.592098060E-1,-1.839375114E1,6.375000477E-1,-5.083125305E1,5.406063979E1
4.692098060E-1,-1.850625038E1,7.312500477E-1,-5.086875153E1,5.413544044E1
4.792098060E-1,-1.860000038E1,8.625000119E-1,-5.070000076E1,5.401105440E1
4.892098060E-1,-1.865625000E1,8.625000119E-1,-5.053125381E1,5.387213735E1
4.992098060E-1,-1.886250114E1,6.937500238E-1,-5.036250305E1,5.378342637E1
5.092098060E-1,-1.912500000E1,7.875000238E-1,-5.015625381E1,5.368459349E1
5.192098060E-1,-1.925625038E1,6.937500238E-1,-5.015625381E1,5.373019881E1
5.292098060E-1,-1.895625114E1,8.625000119E-1,-5.002500153E1,5.350312273E1
5.392098060E-1,-1.886250114E1,7.312500477E-1,-4.993125153E1,5.338031992E1
5.492098060E-1,-1.903125000E1,7.125000358E-1,-4.963125229E1,5.315973417E1
5.592098060E-1,-1.899375153E1,7.312500477E-1,-4.985625076E1,5.335675275E1
5.692098060E-1,-1.908750153E1,8.062500358E-1,-4.985625076E1,5.339127732E1
5.792098060E-1,-1.906875038E1,8.812500238E-1,-4.976250076E1,5.329822065E1
5.892098060E-1,-1.899375153E1,6.750000119E-1,-4.974375153E1,5.325090645E1
5.992098060E-1,-1.895625114E1,7.875000238E-1,-4.991250229E1,5.339679296E1
6.092098060E-1,-1.897500038E1,6.750000119E-1,-4.991250229E1,5.340191148E1
6.192098060E-1,-1.918125153E1,4.875000119E-1,-4.968750381E1,5.326355322E1
6.292098060E-1,-1.925625038E1,4.125000238E-1,-4.981875229E1,5.341237136E1
6.392098060E-1,-1.940625000E1,3.750000000E-1,-4.974375153E1,5.339647910E1
6.492098060E-1,-1.948125076E1,4.500000179E-1,-4.976250076E1,5.344181989E1
6.592098060E-1,-1.908750153E1,3.562500179E-1,-4.980000305E1,5.333385353E1
6.692098060E-1,-1.897500038E1,4.125000238E-1,-4.993125153E1,5.341676399E1
6.792098060E-1,-1.884375000E1,2.625000179E-1,-4.996875381E1,5.340442096E1
6.892098060E-1,-1.903125000E1,2.062500119E-1,-5.011875153E1,5.361082232E1
6.992098060E-1,-1.888125038E1,2.812500000E-1,-5.041875076E1,5.383893708E1
