"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.512307800E-2,-2.242500114E1,3.525000095E0,-4.513125229E1,5.051867214E1
2.512307800E-2,-2.199375153E1,3.543750048E0,-4.537500000E1,5.054872793E1
3.512307800E-2,-2.176875114E1,3.562500238E0,-4.548750305E1,5.055376216E1
4.512307800E-2,-2.139375114E1,3.712500095E0,-4.545000076E1,5.037040614E1
5.512307800E-2,-2.116875076E1,3.806250095E0,-4.565625000E1,5.046876968E1
6.512307800E-2,-2.103750038E1,3.881250143E0,-4.556250000E1,5.033469908E1
7.512307800E-2,-2.116875076E1,3.937500238E0,-4.567500305E1,5.049580003E1
8.512307800E-2,-2.118750000E1,3.993750095E0,-4.591875076E1,5.072860995E1
9.512307800E-2,-2.101875114E1,4.143750191E0,-4.548750305E1,5.027993138E1
1.051230780E-1,-2.128125000E1,4.012500286E0,-4.558125305E1,5.046426845E1
1.151230780E-1,-2.143125153E1,4.050000191E0,-4.560000229E1,5.054761371E1
1.251230780E-1,-2.150625038E1,3.993750095E0,-4.552500153E1,5.050737183E1
1.351230780E-1,-2.182500076E1,3.881250143E0,-4.548750305E1,5.060145941E1
1.451230780E-1,-2.171250153E1,3.843750238E0,-4.588125229E1,5.090477826E1
1.551230780E-1,-2.158125114E1,3.750000238E0,-4.595625305E1,5.090962676E1
1.651230780E-1,-2.150625038E1,3.693750143E0,-4.576875305E1,5.070445100E1
1.751230780E-1,-2.143125153E1,3.750000238E0,-4.571250153E1,5.062601939E1
1.851230780E-1,-2.126250076E1,3.937500238E0,-4.563750076E1,5.050128041E1
1.951230780E-1,-2.105625153E1,3.712500095E0,-4.580625153E1,5.055057927E1
2.051230780E-1,-2.100000000E1,3.768750191E0,-4.593750000E1,5.065034436E1
2.151230780E-1,-2.081250000E1,3.862500191E0,-4.588125229E1,5.052888655E1
2.251230780E-1,-2.092500114E1,3.881250143E0,-4.561875153E1,5.033875511E1
2.351230780E-1,-2.081250000E1,3.843750238E0,-4.571250153E1,5.037427288E1
2.451230780E-1,-2.075625038E1,3.843750238E0,-4.565625000E1,5.029999513E1
2.551230780E-1,-2.083125114E1,3.675000191E0,-4.605000305E1,5.067592556E1
2.651230780E-1,-2.047500038E1,3.543750048E0,-4.582500076E1,5.031614552E1
2.751230780E-1,-2.030625153E1,3.750000238E0,-4.576875305E1,5.021140417E1
2.851230780E-1,-2.032500076E1,3.693750143E0,-4.580625153E1,5.024900123E1
2.951230780E-1,-1.981875038E1,3.637500048E0,-4.590000153E1,5.012808009E1
3.051230780E-1,-1.931250000E1,3.731250048E0,-4.608750153E1,5.010940710E1
3.151230780E-1,-1.927500153E1,3.956250191E0,-4.593750000E1,4.997430846E1
3.251230780E-1,-1.848750114E1,4.293750286E0,-4.644375229E1,5.017216476E1
3.351230780E-1,-1.801875114E1,4.612500191E0,-4.636875153E1,4.996010077E1
3.451230780E-1,-1.779375076E1,5.006250381E0,-4.695000076E1,5.045773162E1
3.551230780E-1,-1.800000000E1,5.137500286E0,-4.689375305E1,5.049176155E1
3.651230780E-1,-1.785000038E1,5.325000286E0,-4.704375076E1,5.059735791E1
3.751230780E-1,-1.805625153E1,5.400000095E0,-4.702500153E1,5.066102041E1
3.851230780E-1,-1.839375114E1,5.456250191E0,-4.700625229E1,5.077094151E1
3.951230780E-1,-1.828125000E1,5.493750095E0,-4.711875153E1,5.083858905E1
4.051230780E-1,-1.903125000E1,5.362500191E0,-4.655625153E1,5.058091973E1
4.151230780E-1,-1.946250153E1,5.268750191E0,-4.635000229E1,5.054573579E1
4.251230780E-1,-1.983750153E1,5.212500095E0,-4.599375153E1,5.035992259E1
4.351230780E-1,-1.980000114E1,5.250000000E0,-4.580625153E1,5.017783599E1
4.451230780E-1,-1.995000076E1,5.193750381E0,-4.565625000E1,5.009461785E1
4.551230780E-1,-1.998750114E1,5.418750286E0,-4.552500153E1,5.001388628E1
4.651230780E-1,-1.995000076E1,5.531250000E0,-4.550625229E1,4.999416220E1
4.751230780E-1,-1.995000076E1,5.700000286E0,-4.539375305E1,4.991077389E1
4.851230780E-1,-2.015625000E1,5.718750000E0,-4.550625229E1,5.009787933E1
4.951230780E-1,-2.010000038E1,5.531250000E0,-4.550625229E1,5.005420801E1
5.051230780E-1,-2.000625038E1,5.418750286E0,-4.561875153E1,5.010672011E1
5.151230780E-1,-1.980000114E1,5.568750381E0,-4.590000153E1,5.029772526E1
5.251230780E-1,-1.985625076E1,5.662500381E0,-4.601250076E1,5.043297365E1
5.351230780E-1,-2.002500153E1,5.550000191E0,-4.610625076E1,5.057261658E1
5.451230780E-1,-2.015625000E1,5.306250095E0,-4.595625305E1,5.046194505E1
5.551230780E-1,-2.013750076E1,5.100000381E0,-4.606875229E1,5.053571884E1
5.651230780E-1,-1.978125000E1,5.137500286E0,-4.633125305E1,5.063868847E1
5.751230780E-1,-1.974375153E1,5.362500191E0,-4.651875305E1,5.081895825E1
5.851230780E-1,-1.989375114E1,5.512500286E0,-4.621875000E1,5.061938211E1
5.951230780E-1,-2.023125076E1,5.325000286E0,-4.606875229E1,5.059633458E1
6.051230780E-1,-2.015625000E1,5.250000000E0,-4.586250305E1,5.037068691E1
6.151230780E-1,-2.011875153E1,5.343750000E0,-4.584375000E1,5.034847804E1
6.251230780E-1,-2.013750076E1,5.362500191E0,-4.584375000E1,5.035796620E1
6.351230780E-1,-2.023125076E1,5.362500191E0,-4.576875305E1,5.032731536E1
6.451230780E-1,-2.028750038E1,5.156250000E0,-4.543125153E1,5.002167731E1
6.551230780E-1,-2.026875114E1,5.193750381E0,-4.530000305E1,4.989877346E1
6.651230780E-1,-2.032500076E1,5.006250381E0,-4.528125000E1,4.988546683E1
6.751230780E-1,-2.032500076E1,5.043750286E0,-4.528125000E1,4.988924408E1
6.851230780E-1,-2.045625114E1,5.062500000E0,-4.522500229E1,4.989376664E1
6.951230780E-1,-2.043750000E1,4.837500095E0,-4.539375305E1,5.001685346E1
7.051230780E-1,-2.030625153E1,5.043750286E0,-4.539375305E1,4.998375820E1
7.151230780E-1,-2.032500076E1,5.193750381E0,-4.531875229E1,4.993866246E1
7.251230780E-1,-2.030625153E1,5.231250286E0,-4.537500000E1,4.998600260E1
7.351230780E-1,-2.053125000E1,5.212500095E0,-4.530000305E1,5.000792597E1
7.451230780E-1,-2.053125000E1,5.306250095E0,-4.550625229E1,5.020465630E1
7.551230780E-1,-2.034375000E1,5.400000095E0,-4.565625000E1,5.027446001E1
7.651230780E-1,-2.036250114E1,5.268750191E0,-4.569375229E1,5.030218862E1
7.751230780E-1,-2.023125076E1,5.475000381E0,-4.571250153E1,5.028828822E1
7.851230780E-1,-2.030625153E1,5.381250381E0,-4.560000229E1,5.020619399E1
7.951230780E-1,-2.023125076E1,5.137500286E0,-4.563750076E1,5.018444871E1
8.051230780E-1,-2.051250076E1,5.081250191E0,-4.546875000E1,5.013969503E1
8.151230780E-1,-2.023125076E1,4.912500381E0,-4.543125153E1,4.997434124E1
8.251230780E-1,-2.021250153E1,4.856250286E0,-4.516875076E1,4.972267521E1
8.351230780E-1,-2.019375038E1,4.837500095E0,-4.470000076E1,4.928771683E1
8.451230780E-1,-2.008125114E1,5.025000095E0,-4.479375076E1,4.934559130E1
8.551230780E-1,-2.013750076E1,4.968750000E0,-4.479375076E1,4.936281516E1
8.651230780E-1,-2.002500153E1,5.025000095E0,-4.479375076E1,4.932272721E1
8.751230780E-1,-2.002500153E1,5.175000191E0,-4.490625000E1,4.944039444E1
8.851230780E-1,-1.987500000E1,5.212500095E0,-4.518750000E1,4.963966094E1
8.951230780E-1,-1.996875000E1,5.400000095E0,-4.546875000E1,4.995316010E1
9.051230780E-1,-2.010000038E1,5.418750286E0,-4.554375076E1,5.007600327E1
9.151230780E-1,-2.032500076E1,5.306250095E0,-4.586250305E1,5.044433697E1
9.251230780E-1,-2.040000153E1,5.325000286E0,-4.576875305E1,5.039141243E1
9.351230780E-1,-2.051250076E1,5.343750000E0,-4.578750229E1,5.045605729E1
9.451230780E-1,-2.066250038E1,5.250000000E0,-4.590000153E1,5.060940191E1
9.551230780E-1,-2.064375114E1,5.268750191E0,-4.599375153E1,5.068874993E1
9.651230780E-1,-2.085000038E1,5.325000286E0,-4.586250305E1,5.066011577E1
9.751230780E-1,-2.077500153E1,5.268750191E0,-4.595625305E1,5.070835840E1
9.851230780E-1,-2.056875038E1,5.118750095E0,-4.608750153E1,5.072802866E1
9.951230780E-1,-2.028750038E1,5.175000191E0,-4.605000305E1,5.058622421E1
1.005123078E0,-2.008125114E1,5.118750095E0,-4.625625229E1,5.068628144E1
1.015123078E0,-1.995000076E1,5.025000095E0,-4.601250076E1,5.040241445E1
1.025123078E0,-2.013750076E1,5.081250191E0,-4.605000305E1,5.051673803E1
1.035123078E0,-2.017500114E1,5.175000191E0,-4.599375153E1,5.048996413E1
1.045123078E0,-2.006250000E1,5.118750095E0,-4.586250305E1,5.031972471E1
1.055123078E0,-1.989375114E1,5.100000381E0,-4.573125076E1,5.013101470E1
1.065123078E0,-1.996875000E1,5.362500191E0,-4.569375229E1,5.015402659E1
1.075123078E0,-1.991250038E1,5.418750286E0,-4.573125076E1,5.017188279E1
1.085123078E0,-2.006250000E1,5.493750095E0,-4.575000000E1,5.025681741E1
1.095123078E0,-1.991250038E1,5.625000000E0,-4.584375000E1,5.029709445E1
1.105123078E0,-1.966875076E1,5.756250381E0,-4.567500305E1,5.006196239E1
1.115123078E0,-1.968750000E1,5.606250286E0,-4.552500153E1,4.991546316E1
1.125123078E0,-1.961250114E1,5.587500095E0,-4.548750305E1,4.984960674E1
1.135123078E0,-1.978125000E1,5.643750191E0,-4.530000305E1,4.975178433E1
1.145123078E0,-1.974375153E1,5.625000000E0,-4.545000076E1,4.987142387E1
1.155123078E0,-1.978125000E1,5.362500191E0,-4.548750305E1,4.989155433E1
1.165123078E0,-1.978125000E1,5.193750381E0,-4.548750305E1,4.987369876E1
1.175123078E0,-2.004375076E1,5.081250191E0,-4.539375305E1,4.988149822E1
1.185123078E0,-1.991250038E1,4.950000286E0,-4.533750153E1,4.976443729E1
1.195123078E0,-1.978125000E1,5.025000095E0,-4.556250000E1,4.992484235E1
1.205123078E0,-1.991250038E1,5.043750286E0,-4.571250153E1,5.011566506E1
1.215123078E0,-2.008125114E1,4.912500381E0,-4.569375229E1,5.015284943E1
1.225123078E0,-1.998750114E1,4.968750000E0,-4.567500305E1,5.010383800E1
1.235123078E0,-2.011875153E1,5.156250000E0,-4.550625229E1,5.002169604E1
1.245123078E0,-2.006250000E1,5.287500381E0,-4.533750153E1,4.985930817E1
1.255123078E0,-1.998750114E1,5.268750191E0,-4.545000076E1,4.992957540E1
1.265123078E0,-2.002500153E1,5.493750095E0,-4.556250000E1,5.007118315E1
1.275123078E0,-2.019375038E1,5.475000381E0,-4.526250076E1,4.986438768E1
1.285123078E0,-2.008125114E1,5.625000000E0,-4.535625076E1,4.992080484E1
1.295123078E0,-2.013750076E1,5.793750286E0,-4.548750305E1,5.008192701E1
1.305123078E0,-2.026875114E1,5.606250286E0,-4.543125153E1,5.006247028E1
1.315123078E0,-2.017500114E1,5.606250286E0,-4.548750305E1,5.007567920E1
1.325123078E0,-2.017500114E1,5.606250286E0,-4.560000229E1,5.017789276E1
1.335123078E0,-2.023125076E1,5.550000191E0,-4.552500153E1,5.012615857E1
1.345123078E0,-2.034375000E1,5.381250381E0,-4.575000000E1,5.035760637E1
1.355123078E0,-2.017500114E1,5.475000381E0,-4.573125076E1,5.028273657E1
1.365123078E0,-2.002500153E1,5.418750286E0,-4.573125076E1,5.021663905E1
1.375123078E0,-1.989375114E1,5.343750000E0,-4.558125305E1,5.001967241E1
1.385123078E0,-1.993125153E1,5.343750000E0,-4.535625076E1,4.982970936E1
1.395123078E0,-2.004375076E1,5.362500191E0,-4.539375305E1,4.991093236E1
1.405123078E0,-2.019375038E1,5.268750191E0,-4.520625305E1,4.979108954E1
1.415123078E0,-2.025000000E1,5.343750000E0,-4.513125229E1,4.975387520E1
1.425123078E0,-2.017500114E1,5.362500191E0,-4.468125153E1,4.931735311E1
1.435123078E0,-2.040000153E1,5.250000000E0,-4.490625000E1,4.960134929E1
1.445123078E0,-2.055000114E1,5.325000286E0,-4.468125153E1,4.946789275E1
1.455123078E0,-2.040000153E1,5.512500286E0,-4.483125305E1,4.956197102E1
1.465123078E0,-2.026875114E1,5.587500095E0,-4.494375229E1,4.961837664E1
1.475123078E0,-2.017500114E1,5.643750191E0,-4.511250305E1,4.973952673E1
1.485123078E0,-2.000625038E1,5.775000095E0,-4.509375000E1,4.966937658E1
1.495123078E0,-1.983750153E1,5.681250095E0,-4.513125229E1,4.962492320E1
1.505123078E0,-1.996875000E1,5.587500095E0,-4.539375305E1,4.990555029E1
1.515123078E0,-1.983750153E1,5.587500095E0,-4.524375153E1,4.971663380E1
1.525123078E0,-1.972500038E1,5.531250000E0,-4.524375153E1,4.966555566E1
1.535123078E0,-1.993125153E1,5.231250286E0,-4.522500229E1,4.969830580E1
1.545123078E0,-1.989375114E1,5.381250381E0,-4.546875000E1,4.992120208E1
1.555123078E0,-2.000625038E1,5.381250381E0,-4.530000305E1,4.981263079E1
1.565123078E0,-2.002500153E1,5.362500191E0,-4.546875000E1,4.997163516E1
1.575123078E0,-2.004375076E1,5.662500381E0,-4.539375305E1,4.994405542E1
1.585123078E0,-1.980000114E1,5.625000000E0,-4.561875153E1,5.004748906E1
1.595123078E0,-1.974375153E1,5.606250286E0,-4.590000153E1,5.027977632E1
1.605123078E0,-1.991250038E1,5.587500095E0,-4.591875076E1,5.036128970E1
1.615123078E0,-1.995000076E1,5.587500095E0,-4.595625305E1,5.041031524E1
1.625123078E0,-1.991250038E1,5.568750381E0,-4.605000305E1,5.047892068E1
1.635123078E0,-1.966875076E1,5.550000191E0,-4.599375153E1,5.032978679E1
1.645123078E0,-1.972500038E1,5.287500381E0,-4.605000305E1,5.037495490E1
1.655123078E0,-1.970625114E1,5.100000381E0,-4.620000076E1,5.048550692E1
1.665123078E0,-1.991250038E1,5.175000191E0,-4.599375153E1,5.038564754E1
1.675123078E0,-2.002500153E1,5.137500286E0,-4.573125076E1,5.018706897E1
1.685123078E0,-2.000625038E1,5.250000000E0,-4.593750000E1,5.037922648E1
1.695123078E0,-1.981875038E1,5.325000286E0,-4.588125229E1,5.026159375E1
1.705123078E0,-1.991250038E1,5.137500286E0,-4.541250229E1,4.985174967E1
1.715123078E0,-2.010000038E1,4.950000286E0,-4.556250000E1,5.004451942E1
1.725123078E0,-2.010000038E1,5.137500286E0,-4.543125153E1,4.994399403E1
1.735123078E0,-2.011875153E1,5.212500095E0,-4.539375305E1,4.992521544E1
1.745123078E0,-2.004375076E1,5.268750191E0,-4.550625229E1,5.000330660E1
1.755123078E0,-1.993125153E1,5.400000095E0,-4.563750076E1,5.009187823E1
1.765123078E0,-1.989375114E1,5.306250095E0,-4.556250000E1,4.999859029E1
1.775123078E0,-1.989375114E1,5.381250381E0,-4.571250153E1,5.014331447E1
1.785123078E0,-2.006250000E1,5.550000191E0,-4.591875076E1,5.041664487E1
1.795123078E0,-2.002500153E1,5.737500191E0,-4.584375000E1,5.035443385E1
