"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.715647500E-2,-1.957500076E1,-2.199375153E1,-4.725000000E1,5.567286827E1
2.715647500E-2,-2.512500191E1,-2.362500000E1,-4.591875076E1,5.742767641E1
3.715647500E-2,-2.936250114E1,-2.456250191E1,-4.447500229E1,5.868133265E1
4.715647500E-2,-3.198750114E1,-2.546250153E1,-4.303125000E1,5.935678302E1
5.715647500E-2,-3.363750076E1,-2.619375038E1,-4.181250000E1,5.971498282E1
6.715647500E-2,-3.465000153E1,-2.651250076E1,-4.081875229E1,5.974701533E1
7.715647500E-2,-3.487500000E1,-2.653125191E1,-4.018125153E1,5.945339290E1
8.715647500E-2,-3.450000000E1,-2.619375038E1,-4.006875229E1,5.900735097E1
9.715647500E-2,-3.431250000E1,-2.585625076E1,-4.012500000E1,5.878697972E1
1.071564750E-1,-3.382500076E1,-2.533125114E1,-4.033125305E1,5.841586201E1
1.171564750E-1,-3.339375305E1,-2.490000153E1,-4.051875305E1,5.811129122E1
1.271564750E-1,-3.313125229E1,-2.456250191E1,-4.068750000E1,5.793504151E1
1.371564750E-1,-3.262500000E1,-2.398125076E1,-4.085625076E1,5.752151110E1
1.471564750E-1,-3.193125153E1,-2.373750114E1,-4.098750305E1,5.712310558E1
1.571564750E-1,-3.101250076E1,-2.334375000E1,-4.160625076E1,5.690154629E1
1.671564750E-1,-3.035625076E1,-2.302500153E1,-4.203750229E1,5.673450673E1
1.771564750E-1,-2.930625153E1,-2.280000114E1,-4.260000229E1,5.651067709E1
1.871564750E-1,-2.835000038E1,-2.276250076E1,-4.288125229E1,5.621970972E1
1.971564750E-1,-2.735625076E1,-2.285625076E1,-4.318125153E1,5.599458133E1
2.071564750E-1,-2.643750191E1,-2.278125000E1,-4.344375229E1,5.572509732E1
2.171564750E-1,-2.540625191E1,-2.300625038E1,-4.363125229E1,5.548379375E1
2.271564750E-1,-2.437500191E1,-2.296875000E1,-4.376250076E1,5.510771877E1
2.371564750E-1,-2.338125038E1,-2.280000114E1,-4.376250076E1,5.460475615E1
2.471564750E-1,-2.221875000E1,-2.285625076E1,-4.400625229E1,5.433812005E1
2.571564750E-1,-2.118750000E1,-2.276250076E1,-4.419375229E1,5.403822109E1
2.671564750E-1,-2.002500153E1,-2.274375153E1,-4.447500229E1,5.381732758E1
2.771564750E-1,-1.886250114E1,-2.253750038E1,-4.466250229E1,5.346467978E1
2.871564750E-1,-1.756875038E1,-2.225625038E1,-4.485000229E1,5.306151502E1
2.971564750E-1,-1.650000000E1,-2.190000153E1,-4.503750229E1,5.272794970E1
3.071564750E-1,-1.535625076E1,-2.165625000E1,-4.561875153E1,5.278141806E1
3.171564750E-1,-1.423125076E1,-2.152500153E1,-4.584375000E1,5.260706799E1
3.271564750E-1,-1.318125057E1,-2.124375153E1,-4.608750153E1,5.243186190E1
3.371564750E-1,-1.215000057E1,-2.103750038E1,-4.616250229E1,5.216488813E1
3.471564750E-1,-1.125000000E1,-2.060625076E1,-4.638750076E1,5.199019424E1
3.571564750E-1,-1.061250019E1,-2.051250076E1,-4.635000229E1,5.178523496E1
3.671564750E-1,-9.525000572E0,-2.056875038E1,-4.638750076E1,5.162944272E1
3.771564750E-1,-8.681250572E0,-2.066250038E1,-4.620000076E1,5.134922691E1
3.871564750E-1,-7.912500381E0,-2.090625000E1,-4.601250076E1,5.115495262E1
3.971564750E-1,-7.181250095E0,-2.101875114E1,-4.603125000E1,5.111002083E1
4.071564750E-1,-6.450000286E0,-2.131875038E1,-4.580625153E1,5.093431358E1
4.171564750E-1,-5.962500095E0,-2.184375000E1,-4.580625153E1,5.109709875E1
4.271564750E-1,-5.643750191E0,-2.253750038E1,-4.565625000E1,5.122776595E1
4.371564750E-1,-5.381250381E0,-2.287500000E1,-4.560000229E1,5.129896382E1
4.471564750E-1,-5.381250381E0,-2.332500076E1,-4.545000076E1,5.136843472E1
4.571564750E-1,-5.568750381E0,-2.379375076E1,-4.543125153E1,5.158635645E1
4.671564750E-1,-5.775000095E0,-2.422500038E1,-4.507500076E1,5.149715491E1
4.771564750E-1,-5.943750381E0,-2.471250153E1,-4.473750305E1,5.145366925E1
4.871564750E-1,-6.300000191E0,-2.512500191E1,-4.440000153E1,5.140346154E1
4.971564750E-1,-6.487500191E0,-2.548125076E1,-4.410000229E1,5.134386040E1
5.071564750E-1,-6.468750477E0,-2.568750191E1,-4.383750153E1,5.121932279E1
5.171564750E-1,-6.412500381E0,-2.593125153E1,-4.376250076E1,5.127091222E1
5.271564750E-1,-6.618750095E0,-2.610000038E1,-4.366875076E1,5.130280368E1
5.371564750E-1,-6.393750191E0,-2.626875114E1,-4.340625000E1,5.113736273E1
5.471564750E-1,-6.243750095E0,-2.649375153E1,-4.335000229E1,5.118716620E1
5.571564750E-1,-6.412500381E0,-2.681250191E1,-4.303125000E1,5.110497917E1
5.671564750E-1,-6.300000191E0,-2.700000191E1,-4.305000305E1,5.120539882E1
5.771564750E-1,-6.356250286E0,-2.703750038E1,-4.267500305E1,5.091742560E1
5.871564750E-1,-6.787500381E0,-2.724375153E1,-4.246875000E1,5.091057734E1
5.971564750E-1,-6.937500477E0,-2.760000038E1,-4.226250076E1,5.095103438E1
6.071564750E-1,-7.125000477E0,-2.791875076E1,-4.198125076E1,5.091804878E1
6.171564750E-1,-7.331250191E0,-2.808750153E1,-4.173750305E1,5.083969052E1
6.271564750E-1,-7.687500477E0,-2.820000076E1,-4.138125229E1,5.066306098E1
6.371564750E-1,-7.668750286E0,-2.818125153E1,-4.145625305E1,5.071107952E1
6.471564750E-1,-7.743750095E0,-2.827500153E1,-4.126875305E1,5.062164908E1
